shortcut note	conversations
Greeting 	မင်္ဂလာပါခင်ဗျာ။ Strategy First University မှ ကြိုဆိုပါတယ်။ Strategy First University မှ ဖွင့်လှစ်ထားသော သင်တန်းလေးနဲ့ပါတ်သက်ပြီး သိလိုတာများကိုအသေးစိတ်မေးထားနိုင်ပါတယ်ခင်ဗျာ။
HRMP Certificate	ဟုတ်ကဲ့ပါခင်ဗျာ SFU Certificate in Human Resources Management in Practice အတန်းလေးကတော့ Certificate အတွက်ဆို သက်မှတ်ထားတဲ့ zoom အတန်းချိန်လေးကို ပြည့်မှီအောင် တက်ရောက်ပေးရမှာဖြစ်ပြိး attendance ပြည့်မှီပါက Certificate လေး ရရှိမှာ ဖြစ်ပါတယ်ခင်ဗျာ။
Top Up programme	ဟုတ်ကဲ့ပါခင်ဗျာ။ Top Up programme ကတော့ မိမိတက်ရောက်ဖို့ ရွေးချယ်ထားတဲ့ ကျောင်းရဲ့ criteria ပေါ်မူတည်ပါတယ်ခင်ဗျာ။ မိမိရွေးချယ်ထားတဲ့ ကျောင်းမှာ Top Up programme ရှိရင်တော့ တက်ရောက်လို့ရနိုင်ပါတယ်ခင်ဗျာ။
Final Year Uni	ဟုတ်ကဲ့ပါခင်ဗျာ။ Business Administration ရဲ့ final year ကို University of Hertfordshire နဲ့ချိတ်ဆက်ထားပါတယ်ခင်ဗျာ။    Computing with Business Management ရဲ့ final year ကို University of Central   Lancashire နဲ့ချိတ်ဆက်ထားပါတယ်ခင်ဗျာ။  Diploma in Computing ရဲ့ final year ကို University of Central Lancashire နဲ့ချိတ်ဆက်ထားပါတယ်ခင်ဗျာ။
DM SFUx	ဟုတ်ကဲ့ပါခင်ဗျာ။ SFUx Certificate in Digital Marketing Communications in Practice 2.0 အတန်းလေးတော့ရှိပါတယ်ခင်ဗျာ။ သင်တန်းကာလကာလမှာ ၃ လခွဲ ဖြစ်ပြီး သင်တန်းကြေးလေးကတော့ ၈၈၅၀၀ကျပ် ဖြစ်ပါတယ်ခင်ဗျာ။
အလုပ်ကိုင်အခွင့်လမ်း	ဟုတ်ကဲ့ပါခင်ဗျာ။ Bachelor  ဘွဲ့ကတော့ UK နိုင်ငံမှပေးအပ်သည့် ဘွဲ့ဖြစ်ပါတယ်ခင်ဗျာ။ ‌ကျောင်းတွင်သင်ကြားသည့် ဘာသာရပ်သင်ခန်းစာများကိုလည်း  လုပ်ငန်းခွင်ထဲတွင် လက်တွေ့ ပြန်လည်အသုံးချနိုင်မှာ ဖြစ်သည့်အတွက် ဘွဲ့ရရှိပြီးပါက လုပ်ငန်းခွင်းဝင်ရောက်ရာတွင်လည်း အဆင်ပြေနိုင်ပါသည်ခင်ဗျာ။ မိမိလုပ်ကိုင်လိုသည့် Career တွင်လည်း စာတွေ၊ လက်တွေ့ အတွေ့အကြုံများရှိထားပါက လုပ်ငန်းခွင်ဝင်‌ရောက်သည့်အခါ ပိုမိုလွယ်ကူနိုင်မှာပါ ဖြစ်ပါတယ်ခင်ဗျာ။
Business Certi and dip	ဟုတ်ကဲ့ပါခင်ဗျာ။  Business Management အတန်းများနဲ့ပတ်သတ်ပြီး - ICM Single Subject Diploma in Busniess Management and Administration - SFU Professional Diploma in Business Management & Entrepreneurship - SFU Certificate in Own Business Management  - SFUx Certificate in Essentials of Management - SFUx Certificate in General Management  - SFUx Certificate in Business Essentials and Employability Skills - SFUx Certificate in Economics for Business အတန်းလေးတွေရှိပါတယ်ခင်ဗျာ။  ဘယ်ဘာသာရပ်လေးတွေနဲ့ ပါတ်သက်ပြီး စိတ်ဝင်စားပါသလဲခင်ဗျာ။
Pre-IGCSE	မင်္ဂလာပါခင်ဗျာ။  Pre-IGCSE အတန်းကို -  - Grade-7 အောင်မြင်ပြီး ကျောင်းသား၊သူများ  - Grade-8 တက်ရောက်‌နေဆဲ ကျောင်းသား၊သူများ  - Grade-8 အောင်မြင်ပြီး ကျောင်းသား၊သူများ  - Grade-9 တက်ရောက်နေဆဲ ကျောင်းသား၊သူများ နှင့် - IGCSE တက်ရောက်ရန် ပြင်ဆင်နေသူများအတွက် စနစ်တကျဖြေဆိုနိုင်အောင်သင်ကြားပေးမှာဖြစ်ပြီး ကျောင်းသား၊ကျောင်းသူတို့ကို ထိရောက်တဲ့သင်ကြားမှုနှင့် ဂရုစိုက်မှုများပေးနိုင်အောင် ကျောင်းသားဦးရေများကို ကန့်သတ်လက်ခံပေးသွားမှာဖြစ်ပါတယ်ခင်ဗျာ။   သင်တန်းချိန် အပတ်စဉ် - တနင်္လာနေ့ မှ သောကြာနေ့ အချိန် - မနက် 8 နာရီမှ ညနေ 4 နာရီအတွင်း  သင်တန်းတက်ရမည့်နေရာ အမှတ်(၁၄၂-၁၄၆)၊ ဆူးလေဘုရားလမ်း၊ ကျောက်တံတားမြို့နယ်။  သင်ကြားပေးသွားမည့် ဘာသာရပ်များ - 1. English as a Second Language (ESL) / General 4 skills English 2. Mathematics 3. Science (Biology, Physics and Chemistry) 4. Digital Technology (ICT) 5. Global Perspectives (critical thinking) 6. Myanmar Language 7. Introduction to Business and Accounting ဘာသာရက်လေးတွေ ဖြစ်ပါတယ်ခင်ဗျာ။
enroll link	မင်္ဂလာပါခင်ဗျာ။  Strategy First University မှ ဖွင့်လှစ်ထားသော  - SFU Professional Diploma - ICM Single Subject Diploma - SFU Certificate - Own Business Management သင်တားများကို https://enroll.strategyfirst.edu.mm/ မှတဆင့် ဝင်ရောက်လေ့လာနိုင်ပါတယ်ခင်ဗျာ။
Programmes	မင်္ဂလာပါခင်ဗျာ။ Strategy First University တွင် ဖွင့်လှစ်ထားသော Programme များကတော့  🔸 Bachelor Programme (Online) 🔸 Bachelor Programme (On campus)   🔸 ICM Single Subject Diploma Programme (Online) 🔸 ICM Single Subject Diploma Programme (On campus) 🔸 SFU Professional Diploma Programme (Online) 🔸 SFU Certificate in Own Business Management (Online) 🔸 SFU Certificate Programme (Online) 🔸 NCC Level-3 International Foundation Diploma Programme (Online) 🔸 Pre-IGCSE, IGCSE Diploma Programme (Online, On Campus) 🔸 SFUx Certificate Programme (Online) Programme လေးများသင်ကြားပေးနေပါသည်ခင်ဗျာ။ မည်သည့် Programme လေးများနဲ့ ပါတ်သက်ပြီး သိရှိလိုပါသလဲခင်ဗျာ။ 
UG Category	မင်္ဂလာပါခင်ဗျာ။ Strategy First University တွင် ဖွင့်လှစ်ထားသော  Bachelor  အတန်းလေးများမှာ - Business Administration - Computing with Business Management  - Computing စသည့် Bachelor အတန်း လေးများရှိပါတယ်ခင်ဗျာ။  မည်သည့်အတန်းလေများးနဲ့ ပတ်သက်ပြီး သိရှိလိုပါသလဲခင်ဗျာ။
UG Regi Form - December	မင်္ဂလာပါခင်ဗျာ။  Strategy First University မှ ဇူလိုင်လ တွင် ဖွင့်လှစ်မည့် Bachelors' Programmes အတန်းများ အတွက် Register ပြုလုပ်ရန်   Registration Form Link ✅ https://forms.gle/UuVtXVMFcZzwCnV69   Registration Form ဖြည့်စွက်သည့်အခါတွင် မိမိတက်ရောက်မည့် Bachelors' Programme ကိုသာ ရွေးချယ်ပြီး Register ပြုလုပ်ပေးရမှာ ဖြစ်ပါတယ်ခင်ဗျာ။      🚨အထက်ပါ Form တွင် ဝင်ခွင့်စာမေးပွဲ ဖြေဆိုရန် Entrance Test Link ပါ ပူးတွဲပါရှိမည် ဖြစ်ပါသဖြင့် Registration ပြုလုပ်ပြီးပါက ဝင်ခွင့်စာမေးပွဲ (Entrance Test) ကိုပါ တစ်ခါတည်း ဖြေဆိုနိုင်မည် ဖြစ်ပါသည်။ ဝင်ခွင့်စာမေးပွဲ (Entrance Test) ဖြေဆိုအောင်မြင်ပြီးပါက (၃) ရက်အတွင်း Interview ဖြေဆိုပေးရပါမည်။ Entrance Test နှင့် Interview ဖြေဆိုအောင်မြင်မှသာလျှင် အတန်းတက်ရောက်ခွင့်ရရှိမည် ဖြစ်ပါသည်။  Registration Form ဖြည့်စွက်ရာတွင် အဆင်မပြေမှု့တစုံတရာရှိပါက ၀၉ ၇၆၅၄၃၈၀၀၀ သို့  ရုံးချိန်အတွင်း ဆက်သွယ်မေးမြန်းနိုင်ပါတယ်ခင်ဗျာ။။
